Condition,Item,type,Sentence,Predicate
a,45,filler,Daniel packed and jammed the ,filler
a,40,filler,The analyst confessed that the sharp-witted mathematician deliberately entrusted,filler
b,9,exp,How unhappy with herself over the accident did the,unhappy
a,4,exp,How delighted with him about the arrest did the,delighted
a,25,filler,Haley splashed and splattered the canvas artistically with,filler
d,11,exp,How unhappy with herself over the incident was the,unhappy
a,46,filler,Did the experienced photographer impress himself by selling,filler
a,41,filler,Elizabeth recalled how pleased with herself the warm-hearted nanny had been,filler
a,24,exp,How annoyed with her over the debate did the,annoyed
c,10,exp,How delighted with her over the nomination was the,delighted
d,7,exp,How impressed with herself about the publicity was the,impressed
b,5,exp,How happy with himself about the outcome did the,happy
a,37,filler,What picture did John's great-grandchild show to ,filler
a,16,exp,How frustrated with him over the mistake did the,frustrated
a,47,filler,There was a claim about herself which the businesswoman suspected that Judith,filler
a,28,filler,There was an allegation about himself that the waiter had expected him that,filler
a,29,filler,The probability that the unethical scientist uncovered the,filler
c,2,exp,How mad at him about the party was the,mad
a,39,filler,The baker mentioned why the fashionable mother that the girl,filler
a,31,filler,The adventurous secretary who amazed Susana had,filler
c,14,exp,How confident in him about the decision was the,confident
b,17,exp,How sure of himself about the report did the,sure
d,23,exp,How frustrated with herself about the performance was the,frustrated
a,26,filler,Eric coated and slathered the birthday cake lavishly with,coated
c,22,exp,How mad at her about the oversight was the,mad
a,12,exp,How pleased with her about the award did the,pleased
a,27,filler,There was a statement about himself that the cameraman had attacked him that,filler
d,3,exp,How ashamed of himself about the affair was the,ashamed
a,38,filler,There was a belief about herself which the craftswoman had,filler
a,20,exp,How upset with her about the accident did the,upset
b,13,exp,How pleased with himself about the results did the,pleased
a,48,filler,The insinuation that the supercilious,filler
a,32,filler,Dorothy worried about how frustrated with himself the bad-tempered,filler
b,1,exp,How upset with himself about the mishap did the,upset
a,36,filler,Gregory crammed and stuffed the pillow casually with overflowing,crammed
a,8,exp,How ashamed of her about the mistake did the,ashamed
c,18,exp,How upset with him over the event was the,upset
a,35,filler,How proud of herself did Catherine think that,filler
d,19,exp,How happy with herself about the review was the,happy
a,42,filler,The claim that the gentleman invented ,filler
b,21,exp,How worried about herself during the move did the,worried
a,33,filler,Haley wondered how sure of himself the inexperienced substitute teacher,filler
c,6,exp,How pleased with him about the guest list was the,exp
a,43,filler,The rapper considered whether the sketchy promoter that,filler
d,15,exp,How proud of himself about the play was the,proud
a,34,filler,Melissa draped and covered the furniture carefully with protective,draped
a,30,filler,Alexis's great-grandchild sprinkled and peppered the field randomly with,filler
a,44,filler,The editor-in-chief of the prestigious,filler
